communityIdNumber,communityName,county,state,initialFloodHazardBoundaryMap,initialFloodInsuranceRateMap,currentlyEffectiveMapDate,regularEmergencyProgramDate,tribal,participatingInNFIP,originalEntryDate,classRatingEffectiveDate,classRating,sfhaDiscount,nonSfhaDiscount,lastRefresh
200448,"POTWIN, CITY OF",BUTLER COUNTY,KS,1975-09-26T00:00:00.000Z,2009-06-02T00:00:00.000Z,06/02/09,07/19/11,0,1,,,,,,2024-11-09T09:16:29.543Z
180497,"CONVERSE, TOWN OF",GRANT COUNTY/MIAMI COUNTY,IN,,1988-04-05T00:00:00.000Z,(NSFHA),02/13/09,0,1,,,,,,2024-11-09T09:16:21.778Z
080216,"JAMESTOWN, TOWN OF",BOULDER COUNTY,CO,1975-07-11T00:00:00.000Z,1983-07-18T00:00:00.000Z,10/24/24,07/18/83,0,1,,,,,,2024-11-09T09:16:02.650Z
200481,"CLAFLIN, CITY OF",BARTON COUNTY,KS,1975-08-15T00:00:00.000Z,2009-09-02T00:00:00.000Z,02/15/19(M),01/20/10,0,1,,,,,,2024-11-09T09:16:29.727Z
200482,"CLEARWATER, CITY OF",SEDGWICK COUNTY,KS,1975-09-05T00:00:00.000Z,1980-08-15T00:00:00.000Z,12/22/16,08/15/80,0,1,,,,,,2024-11-09T09:16:29.734Z
200486,"COTTONWOOD FALLS, CITY OF",CHASE COUNTY,KS,1976-03-26T00:00:00.000Z,2009-06-01T00:00:00.000Z,03/22/22,06/01/09,0,1,,,,,,2024-11-09T09:16:29.747Z
200487,"DELPHOS, CITY OF",OTTAWA COUNTY,KS,1975-08-15T00:00:00.000Z,1988-07-01T00:00:00.000Z,12/21/23(M),07/01/88,0,1,,,,,,2024-11-09T09:16:29.753Z
200488,"DIGHTON, CITY OF",LANE COUNTY,KS,,,,04/26/11(E),0,1,,,,,,2024-11-09T09:16:29.760Z
290655,"RICH HILL, CITY OF",BATES COUNTY,MO,1975-02-14T00:00:00.000Z,2010-05-03T00:00:00.000Z,05/03/10(M),07/07/21,0,1,,,,,,2024-11-09T09:17:03.724Z
290656,"RICHLAND, CITY OF",PULASKI COUNTY,MO,1975-01-03T00:00:00.000Z,2010-05-03T00:00:00.000Z,,09/10/84,0,1,,,,,,2024-11-09T09:17:03.730Z
290657,"RICHMOND, CITY OF",RAY COUNTY,MO,1976-10-22T00:00:00.000Z,1999-05-01T00:00:00.000Z,06/19/12,05/01/99,0,1,,,,,,2024-11-09T09:17:03.736Z
290659,"RUSSELLVILLE, CITY OF",COLE COUNTY,MO,,2005-12-02T00:00:00.000Z,(NSFHA),08/27/21,0,1,,,,,,2024-11-09T09:17:03.749Z
290661,"ST. JAMES, CITY OF",PHELPS COUNTY,MO,1975-02-21T00:00:00.000Z,1985-07-03T00:00:00.000Z,02/20/08(M),07/03/85,0,1,,,,,,2024-11-09T09:17:03.755Z
290662,"ST. ROBERT, CITY OF",PULASKI COUNTY,MO,1975-02-07T00:00:00.000Z,2010-05-03T00:00:00.000Z,05/03/10(M),11/30/04,0,1,,,,,,2024-11-09T09:17:03.761Z
290663,"SALISBURY, CITY OF",CHARITON COUNTY,MO,1975-02-07T00:00:00.000Z,2012-05-16T00:00:00.000Z,05/16/12(M),03/01/16,0,1,,,,,,2024-11-09T09:17:03.771Z
390722,"NEVADA, VILLAGE OF",WYANDOT COUNTY,OH,1975-02-14T00:00:00.000Z,1998-01-07T00:00:00.000Z,01/07/98,01/07/98,0,1,,,,,,2024-11-09T09:17:35.092Z
450065,"DILLON, CITY OF",DILLON COUNTY,SC,1974-05-17T00:00:00.000Z,1991-07-01T00:00:00.000Z,05/24/11,07/01/91,0,1,,,,,,2024-11-09T09:17:57.634Z
450066,"LAKE VIEW, TOWN OF",DILLON COUNTY,SC,1974-05-24T00:00:00.000Z,1989-03-02T00:00:00.000Z,05/24/11,03/02/89,0,1,,,,,,2024-11-09T09:17:57.641Z
450067,"LATTA, TOWN OF",DILLON COUNTY,SC,1974-06-14T00:00:00.000Z,1986-07-03T00:00:00.000Z,05/24/11,07/03/86,0,1,,,,,,2024-11-09T09:17:57.647Z
450068,DORCHESTER COUNTY *,DORCHESTER COUNTY,SC,1977-12-23T00:00:00.000Z,1982-01-06T00:00:00.000Z,07/18/17,01/06/82,0,1,,,,,,2024-11-09T09:17:57.653Z
450070,"HARLEYVILLE, TOWN OF",DORCHESTER COUNTY,SC,1974-05-24T00:00:00.000Z,1979-10-26T00:00:00.000Z,(NSFHA),10/26/79,0,1,,,,,,2024-11-09T09:17:57.660Z
450072,"ST. GEORGE, TOWN OF",DORCHESTER COUNTY,SC,1976-07-23T00:00:00.000Z,2017-07-18T00:00:00.000Z,07/18/17,07/19/24,0,1,,,,,,2024-11-09T09:17:57.666Z
450074,"EDGEFIELD, TOWN OF",EDGEFIELD COUNTY,SC,1974-05-24T00:00:00.000Z,2002-02-01T00:00:00.000Z,09/14/18(M),02/01/02,0,1,,,,,,2024-11-09T09:17:57.678Z
450075,FAIRFIELD COUNTY *,FAIRFIELD COUNTY,SC,1977-11-25T00:00:00.000Z,1982-07-19T00:00:00.000Z,09/28/18,07/19/82,0,1,,,,,,2024-11-09T09:17:57.684Z
450080,"OLANTA, TOWN OF",FLORENCE COUNTY,SC,1974-05-24T00:00:00.000Z,2004-12-16T00:00:00.000Z,12/16/14(M),03/18/15,0,1,,,,,,2024-11-09T09:17:57.708Z
450081,"PAMPLICO, TOWN OF",FLORENCE COUNTY,SC,1974-05-10T00:00:00.000Z,2002-02-01T00:00:00.000Z,12/16/14(M),02/01/02,0,1,,,,,,2024-11-09T09:17:57.714Z
450082,"QUINBY, TOWN OF",FLORENCE COUNTY,SC,1974-05-17T00:00:00.000Z,1978-11-24T00:00:00.000Z,12/16/14,11/20/78,0,1,,,,,,2024-11-09T09:17:57.721Z
450083,"SCRANTON, TOWN OF",FLORENCE COUNTY,SC,1974-05-24T00:00:00.000Z,1978-09-01T00:00:00.000Z,(NSFHA),09/01/78,0,1,,,,,,2024-11-09T09:17:57.727Z
450084,"TIMMONSVILLE, TOWN OF",FLORENCE COUNTY,SC,1975-10-03T00:00:00.000Z,2004-12-16T00:00:00.000Z,12/16/14,01/05/16,0,1,,,,,,2024-11-09T09:17:57.734Z
450085,GEORGETOWN COUNTY *,GEORGETOWN COUNTY,SC,1975-01-03T00:00:00.000Z,1984-03-01T00:00:00.000Z,05/09/23,03/01/84,0,1,2010-05-01T00:00:00.000Z,2017-05-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:17:57.740Z
450086,"ANDREWS, TOWN OF",WILLIAMSBURG COUNTY/GEORGETOWN COUNTY,SC,1974-05-24T00:00:00.000Z,1976-09-10T00:00:00.000Z,05/09/23,09/30/76,0,1,,,,,,2024-11-09T09:17:57.746Z
450087,"GEORGETOWN, CITY OF",GEORGETOWN COUNTY,SC,1974-06-07T00:00:00.000Z,1978-09-29T00:00:00.000Z,05/09/23,09/29/78,0,1,1993-10-01T00:00:00.000Z,2014-05-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:17:57.752Z
450089,GREENVILLE COUNTY *,GREENVILLE COUNTY,SC,1976-11-19T00:00:00.000Z,1980-12-02T00:00:00.000Z,05/04/21,12/02/80,0,1,1993-10-01T00:00:00.000Z,2021-10-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:17:57.758Z
450091,"GREENVILLE, CITY OF",GREENVILLE COUNTY,SC,1974-06-28T00:00:00.000Z,1980-02-01T00:00:00.000Z,01/18/19,02/01/80,0,1,1991-10-01T00:00:00.000Z,2017-05-01T00:00:00.000Z,5,25%,10%,2024-11-09T09:17:57.764Z
450092,"SIMPSONVILLE, CITY OF",GREENVILLE COUNTY,SC,1974-05-17T00:00:00.000Z,1978-09-29T00:00:00.000Z,08/18/14,09/29/78,0,1,,,,,,2024-11-09T09:17:57.770Z
450093,"GREENWOOD, CITY OF",GREENWOOD COUNTY,SC,1974-06-21T00:00:00.000Z,1987-02-04T00:00:00.000Z,06/20/19,02/04/87,0,1,,,,,,2024-11-09T09:17:57.776Z
450096,"BRUNSON, TOWN OF",HAMPTON COUNTY,SC,1974-05-31T00:00:00.000Z,1986-08-05T00:00:00.000Z,09/29/10(M),08/05/86,0,1,,,,,,2024-11-09T09:17:57.795Z
450097,"ESTILL, TOWN OF",HAMPTON COUNTY,SC,1974-05-31T00:00:00.000Z,1986-07-17T00:00:00.000Z,09/29/10(M),07/17/86,0,1,,,,,,2024-11-09T09:17:57.801Z
481653,"PELICAN BAY, CITY OF",TARRANT COUNTY,TX,,1995-08-02T00:00:00.000Z,09/25/09,03/06/08,0,1,,,,,,2024-11-09T09:18:12.787Z
481654,"BEASLEY, CITY OF",FORT BEND COUNTY,TX,1976-07-09T00:00:00.000Z,1986-08-05T00:00:00.000Z,12/21/17,04/01/04,0,1,,,,,,2024-11-09T09:18:12.793Z
481655,"ORCHARD, CITY OF",FORT BEND COUNTY,TX,,2000-04-20T00:00:00.000Z,(NSFHA),11/28/01,0,1,,,,,,2024-11-09T09:18:12.799Z
481656,"PALMVIEW, CITY OF",HIDALGO COUNTY,TX,,,,10/14/14,0,1,,,,,,2024-11-09T09:18:12.806Z
481658,"SOCORRO, CITY OF",EL PASO COUNTY,TX,,1991-09-04T00:00:00.000Z,,03/14/94,0,1,,,,,,2024-11-09T09:18:12.812Z
481659,"ALEDO, CITY OF",PARKER COUNTY,TX,,1997-01-03T00:00:00.000Z,09/26/08,01/29/97,0,1,,,,,,2024-11-09T09:18:12.818Z
481660,"ANNETTA, TOWN OF",PARKER COUNTY,TX,,1997-01-03T00:00:00.000Z,04/05/19,09/01/10,0,1,,,,,,2024-11-09T09:18:12.824Z
481661,"KRUGERVILLE, CITY OF",DENTON COUNTY,TX,,1997-04-02T00:00:00.000Z,(NSFHA),06/06/00,0,1,,,,,,2024-11-09T09:18:12.830Z
481663,"LAKEWOOD VILLAGE, TOWN  OF",DENTON COUNTY,TX,,1997-04-02T00:00:00.000Z,(NSFHA),06/11/09,0,1,,,,,,2024-11-09T09:18:12.837Z
481665,"ANNETTA SOUTH, CITY OF",PARKER COUNTY,TX,,1997-01-03T00:00:00.000Z,04/05/19,11/01/99,0,1,,,,,,2024-11-09T09:18:12.843Z
481666,"PALISADES, VILLAGE OF",RANDALL COUNTY,TX,,2010-06-04T00:00:00.000Z,06/04/10,06/12/95,0,1,,,,,,2024-11-09T09:18:12.849Z
481667,"DRIPPING SPRINGS, CITY OF",HAYS COUNTY,TX,,1998-02-18T00:00:00.000Z,(NSFHA),09/06/02,0,1,,,,,,2024-11-09T09:18:12.855Z
481668,"UHLAND, CITY OF",CALDWELL COUNTY/HAYS COUNTY,TX,,1998-02-18T00:00:00.000Z,06/19/12,12/04/09,0,1,,,,,,2024-11-09T09:18:12.862Z
481669,"HAYS, CITY OF",HAYS COUNTY,TX,,1998-02-18T00:00:00.000Z,09/02/05,11/07/11,0,1,,,,,,2024-11-09T09:18:12.868Z
481670,"NIEDERWALD, CITY OF",CALDWELL COUNTY/HAYS COUNTY,TX,,1998-02-18T00:00:00.000Z,06/19/12,06/10/05,0,1,,,,,,2024-11-09T09:18:12.875Z
481673,"PECAN HILL, CITY OF",ELLIS COUNTY,TX,,1999-01-20T00:00:00.000Z,10/19/23,11/05/07,0,1,,,,,,2024-11-09T09:18:12.896Z
481674,"WEIR, CITY OF",WILLIAMSON COUNTY,TX,,1991-09-27T00:00:00.000Z,12/20/19,04/19/96,0,1,,,,,,2024-11-09T09:18:12.902Z
481675,"FAIRCHILDS, VILLAGE OF",FORT BEND COUNTY,TX,1976-07-09T00:00:00.000Z,1986-08-05T00:00:00.000Z,01/29/21,05/28/96,0,1,,,,,,2024-11-09T09:18:12.909Z
550286,"WHITEFISH BAY, VILLAGE OF",MILWAUKEE COUNTY,WI,1974-02-22T00:00:00.000Z,1987-05-01T00:00:00.000Z,10/24/24,05/01/87,0,1,,,,,,2024-11-09T09:18:23.831Z
550524,"HALES CORNERS, VILLAGE OF",MILWAUKEE COUNTY,WI,1974-05-03T00:00:00.000Z,1979-06-15T00:00:00.000Z,10/24/24,06/15/79,0,1,,,,,,2024-11-09T09:18:25.107Z
460176,"FREEMAN, CITY OF",HUTCHINSON COUNTY,SD,,2009-09-02T00:00:00.000Z,05/08/24(M),03/03/20,0,1,,,,,,2024-11-09T09:17:59.638Z
200489,"DOUGLASS, CITY OF",BUTLER COUNTY,KS,1975-07-18T00:00:00.000Z,2009-06-02T00:00:00.000Z,06/02/09,09/01/04,0,1,,,,,,2024-11-09T09:16:29.766Z
200491,"EASTBOROUGH, CITY OF",SEDGWICK COUNTY,KS,1975-09-19T00:00:00.000Z,2007-02-02T00:00:00.000Z,12/22/16,02/01/17,0,1,,,,,,2024-11-09T09:16:29.772Z
290665,"SHELBINA, CITY OF",SHELBY COUNTY,MO,1975-04-25T00:00:00.000Z,2014-04-01T00:00:00.000Z,08/15/23,04/01/14,0,1,,,,,,2024-11-09T09:17:03.788Z
290667,"STOCKTON, CITY OF",CEDAR COUNTY,MO,1976-07-02T00:00:00.000Z,2002-07-17T00:00:00.000Z,01/06/11,09/25/03,0,1,,,,,,2024-11-09T09:17:03.794Z
290668,"GREEN PARK, CITY OF",ST. LOUIS COUNTY,MO,,2015-02-04T00:00:00.000Z,02/04/15,08/12/98,0,1,,,,,,2024-11-09T09:17:03.801Z
290669,"ODESSA, CITY OF",LAFAYETTE COUNTY,MO,1975-05-02T00:00:00.000Z,2010-11-26T00:00:00.000Z,11/26/10(M),04/11/79,0,1,,,,,,2024-11-09T09:17:03.807Z
290671,"OSAGE BEACH, CITY OF",MILLER COUNTY/CAMDEN COUNTY,MO,1976-07-30T00:00:00.000Z,2011-06-16T00:00:00.000Z,06/16/11,06/16/11,0,1,,,,,,2024-11-09T09:17:03.814Z
290674,"PASADENA HILLS, CITY OF",ST. LOUIS COUNTY,MO,1975-07-11T00:00:00.000Z,1995-08-02T00:00:00.000Z,(NSFHA),09/10/84,0,1,,,,,,2024-11-09T09:17:03.820Z
